"","target","CUSTOMER_PROFILE_CODE","LOCATIONNAME","VEHICLEMODEL","ASSETCOST","LOANAMOUNT","EMI","TENURE","ADDRESSCONFIRMED","DESIGNATION","RESIDENCETYPE","NOOFYEARSINSAMECITY","RESIDENCESTABILITY","RESIDENCELOCALITY","BUSINESSCATEGORY","BUSINESSMARGINGROSS","INCOMEEMPLOYMENT","STABILITYINBUSINESS","STABILITYCONFIRMED","STABILTIYCONFIRMEDTHRU","ISFAMILYINVOLVED","OFFICETYPE","MONTHLYTURNOVER","STOCKVALUEINHAND","BUSINESSMARGINNET","NOOFEMPLOYEES","NAMEBOARDSEEN","OFFICELOCALITY","ISRESIDENCECOMEOFFICE","ENDUSEOFLOAN","ENDUSEOFASSET","ASSETLOCATION","NEIGHBOURREF","POLITICALLINK","PROFESSIONTYPE","CURRENTBUSINESSSTABILITY","APPLICANTDESIGNATION","ASSETREGMONTH","ASSETREGYEAR","LANDOWNERSHIP","IRRIGATIONSOURCE","CROPSCULTIVATED","DISTFROMSCELOCATION","DISTFROMDEALERLOCATION","IMGCONFIRM","TOTALEXPENSEPERMONTH","NETINCOMEPERMONTH","FOIR","Target","UID","Location"
"1","Bad","PROF270","MADURAI","HONDA CITY 1.5 GXI PETROL 2008",900000,350000,13369,36,"Y","APPLICANT","R",20,4,3,"PR005",0,80000,15,"N",5,"Y","O",0,0,"0","50","N",2,"N","WON USE",1,"MADURAI","POSITIVE","N","SEP",2,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",0,80000,17,1,1,1
"2","Good","PROF218","KOLKATA","MARUTI SUZUKI EECO 7 STR PETROL 2011",400000,125250,5428,30,"Y","SELF","O",45,45,3,"PR005",0,35000,20,"N",6,"Y","O",0,0,"0","1","Y",1,"Y","NOT",1,"BANGAON","POSITIVE","N","SEP",15,"PROP",NA,0,NA,NA,NA,0,0,"Y",8000,27000,20,2,2,2
"3","Good","PROF305","NAGPUR","MARUTI SUZUKI SWIFT VDI DIESEL 2013",450000,329250,8536,60,"Y","ELDER BROTHER","O",15,15,3,"PR005",0,50000,3,"Y",5,"N","R",50000,0,"0","1","Y",2,"N","PERSONAL",1,"NAGPUR","POSITIVE","N","SEP",3,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",0,50000,17,2,3,3
"4","Good","PROF356","AHMEDABAD","FORD ENDEAVOUR XLT 4X2 DIESEL 2008",600000,300000,11084,36,"Y","PROPRIETOR","O",35,30,3,"PR005",25,60000,20,"N",NA,"N","O",3e+05,500000,"20","4","Y",2,"N","VEHICLE PURCHASSE",1,"AHMEDABAD","POSITIVE","N","SEP",20,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",0,60000,18,2,4,4
"5","Bad","PROF300","NAGPUR","MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2013",550000,429250,15898,36,"Y","SELF","O",25,25,3,"PR005",0,40000,15,"N",NA,"N","R",0,0,"0","1","Y",2,"N","NAA",1,NA,"POSITIVE","N","SEP",15,"SELF EMPLOYED",NA,0,NA,NA,NA,0,0,"Y",10000,30000,53,1,5,3
"6","Good","PROF310","PONDICHERRY ","MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2014",640823,504250,18336,36,"Y","APPLICANT","O",37,37,3,"PR005",0,145000,12,"N",NA,"N","R",0,0,"0","2","Y",2,"N","VEHICLE PURCHASE",1,NA,"POSITIVE","N","SEP",12,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",60000,85000,22,2,6,5
"7","Good","PROF324","CHANDIGARH","TOYOTA INNOVA 2.5 G4 7 STR DIESEL 2011",280000,234250,11809,24,"Y","SELF","O",42,42,3,"PR005",0,75000,20,"Y",5,"Y","O",50000,1000000,"0","2","Y",2,"N","APPLICANT ",1,"DHADRIAN ","POSITIVE","N","SEP",20,"PROP",NA,0,NA,NA,NA,0,0,"Y",37000,38000,35,2,7,6
"8","Bad","PROF252","PUNE","MARUTI SUZUKI ALTO K10 VXI PETROL 2012",250000,174250,6432,36,"Y","SELF","O",46,46,3,"PR008",0,35000,22,"Y",1,"Y","O",0,0,"0","0","N",2,"N","TO PURCHASE USED CAR",1,NA,"POSITIVE","N","AGR",22,"FARMER",NA,0,NA,NA,NA,0,0,"Y",10000,25000,26,1,8,7
"9","Bad","PROF285","ROWB","HYUNDAI EON D LITE PLUS PETROL 2013",225000,184250,4837,60,"Y","PROPREITOR","O",35,35,3,"PR005",65,45000,3,"Y",6,"Y","O",75000,100000,"45","0","N",2,"N","PERSONAL",1,"PANAGARH","POSITIVE","N","SEP",3,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",27000,18000,27,1,9,8
"10","Good","PROF305","BANGALORE ","MAHINDRA SCORPIO VLS 2.2 M HAWK DIESEL 2011",600000,504250,14943,48,"Y","SELF","O",15,3,4,"PR005",0,80000,10,"Y",5,"N","R",80000,0,"0","4","Y",2,"N","APPLICANT",1,"BANGLORE","POSITIVE","N","SEP",10,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",20000,60000,25,2,10,9
